total_ns	count	mean_ns	kernel
1411383317	6000	235230.55	ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
1072879413	2240	478964.02	_ZN7cutlass7Kernel2I68cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8EEvNT_6ParamsE
427607281	720	593899.00	_Z16flash_fwd_kernelI23Flash_fwd_kernel_traitsILi64ELi128ELi128ELi4ELb0ELb0EN7cutlass10bfloat16_tE19Flash_kernel_traitsILi64ELi128ELi128ELi4ES2_EELb0ELb0ELb1ELb0ELb0ELb1ELb0ELb0EEv16Flash_fwd_params
167457228	1880	89072.99	badd_bf16
151860894	1360	111662.42	layernorm_bf16
131522546	1120	117430.84	residual_norm_bf16
104155389	1120	92995.88	geglu_bf16_pair
99460019	480	207208.37	_Z16flash_fwd_kernelI23Flash_fwd_kernel_traitsILi64ELi128ELi128ELi4ELb0ELb0EN7cutlass10bfloat16_tE19Flash_kernel_traitsILi64ELi128ELi128ELi4ES2_EELb0ELb0ELb0ELb0ELb0ELb1ELb0ELb0EEv16Flash_fwd_params
53212374	1120	47511.05	rope_pair_bf16
46690973	80	583637.16	ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_tn
18469644	80	230870.55	urelu_bf16
7840887	160	49005.54	is_u32_bf16
3389517	1280	2648.06	copy2d_bf16
562273	80	7028.41	ampere_sgemm_32x32_sliced1x4_tn
278403	40	6960.07	_ZN7cutlass7Kernel2I66cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8EEvNT_6ParamsE
242239	80	3027.99	badd_f32
176515	40	4412.88	_ZN8internal5gemvx6kernelIii13__nv_bfloat16S2_S2_fLb0ELb1ELb1ELb0ELi7ELb0E18cublasGemvParamsExIi30cublasGemvTensorStridedBatchedIKS2_ES6_S4_IS2_EfEEENSt9enable_ifIXntT5_EvE4typeET11_
108899	80	1361.24	copy2d_f32
106881	80	1336.01	cast_bf16_f32
87425	40	2185.62	_ZN8cublasLt19splitKreduce_kernelILi32ELi16EiffffLb0EfffLb1ELb0ELb0ELb0EEEvNS_18cublasSplitKParamsIT4_EEPKT2_PKT8_PT7_PT3_PKS2_SF_PKT9_S6_PSG_PvlPS2_PiSL_SL_SF_SF_SF_SF_SF_
78146	40	1953.65	_ZN8cublasLt19splitKreduce_kernelILi32ELi16Ei13__nv_bfloat16S1_fS1_Lb0ES1_S1_S1_Lb1ELb0ELb0ELb0EEEvNS_18cublasSplitKParamsIT4_EEPKT2_PKT8_PT7_PT3_PKS3_SG_PKT9_S7_PSH_PvlPS3_PiSM_SM_SG_SG_SG_SG_SG_
72193	40	1804.83	softmax_f32
71135	40	1778.38	ugelu_erf_f32
70019	40	1750.47	ugelu_erf_bf16
