total_ns	count	mean_ns	kernel
170647901	1500	113765.27	ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
103369077	560	184587.64	_ZN7cutlass7Kernel2I68cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8EEvNT_6ParamsE
27713297	180	153962.76	_Z16flash_fwd_kernelI23Flash_fwd_kernel_traitsILi64ELi128ELi128ELi4ELb0ELb0EN7cutlass10bfloat16_tE19Flash_kernel_traitsILi64ELi128ELi128ELi4ES2_EELb0ELb0ELb1ELb0ELb0ELb1ELb0ELb0EEv16Flash_fwd_params
13487630	470	28697.09	badd_bf16
11785309	280	42090.39	residual_norm_bf16
11771104	340	34620.89	layernorm_bf16
11620729	280	41502.60	geglu_bf16_pair
9595367	120	79961.39	_Z16flash_fwd_kernelI23Flash_fwd_kernel_traitsILi64ELi128ELi128ELi4ELb0ELb0EN7cutlass10bfloat16_tE19Flash_kernel_traitsILi64ELi128ELi128ELi4ES2_EELb0ELb0ELb0ELb0ELb0ELb1ELb0ELb0EEv16Flash_fwd_params
6601813	280	23577.90	rope_pair_bf16
4649347	20	232467.35	_ZN7cutlass7Kernel2I68cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8EEvNT_6ParamsE
1212873	20	60643.65	urelu_bf16
622500	40	15562.50	is_u32_bf16
163873	30	5462.43	copy2d_bf16
131234	20	6561.70	_Z16gemmSN_TN_kernelIfLi128ELi16ELi2ELi4ELi4ELi4ELb0E30cublasGemvTensorStridedBatchedIKfES2_S0_IfEEv22cublasGemmSmallNParamsIT7_T8_T9_T_E
100673	10	10067.30	ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
58145	20	2907.25	badd_f32
42592	10	4259.20	_ZN8internal5gemvx6kernelIii13__nv_bfloat16S2_S2_fLb0ELb1ELb1ELb0ELi7ELb0E18cublasGemvParamsExIi30cublasGemvTensorStridedBatchedIKS2_ES6_S4_IS2_EfEEENSt9enable_ifIXntT5_EvE4typeET11_
26401	20	1320.05	copy2d_f32
26303	20	1315.15	cast_bf16_f32
18593	10	1859.30	softmax_f32
17089	10	1708.90	ugelu_erf_bf16
15264	10	1526.40	ugelu_erf_f32
