Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.1,3490429273,80,43630365.9,42655050.0,8530,88798458,43795916.1,cuMemcpyDtoHAsync_v2
0.6,20047746,10760,1863.2,1744.5,1490,18840,693.0,cuLaunchKernel
0.3,12361443,6280,1968.4,1860.0,1680,18370,541.8,cudaLaunchKernel
0.2,7852613,19160,409.8,380.0,190,95360,955.1,cuMemAllocAsync
0.2,6828942,19160,356.4,320.0,210,10830,254.2,cuMemFreeAsync
0.1,4284652,38320,111.8,100.0,70,33350,218.7,cuEventCreate
0.1,3111556,38320,81.2,70.0,40,5130,59.5,cuEventDestroy_v2
0.1,2724881,1200,2270.7,1990.0,1800,10330,1046.0,cuMemsetD8Async
0.1,2643347,1200,2202.8,2060.0,1860,8570,558.4,cudaLaunchKernel_ptsz
0.1,2527024,1,2527024.0,2527024.0,2527024,2527024,0.0,cuStreamSynchronize
0.1,2203947,1080,2040.7,1700.0,1390,16599,1268.8,cuMemcpyHtoDAsync_v2
0.1,1936700,1200,1613.9,1510.0,1350,7550,413.6,cudaMemsetAsync
0.0,598724,1280,467.8,390.0,330,2900,281.6,cudaEventRecord
0.0,474272,2280,208.0,170.0,150,2740,171.4,cuKernelGetFunction
0.0,412045,6480,63.6,50.0,40,6730,86.5,cuStreamGetCaptureInfo_v2
0.0,3330,1,3330.0,3330.0,3330,3330,0.0,cuCtxSynchronize
0.0,2030,1,2030.0,2030.0,2030,2030,0.0,cuProfilerStart
0.0,280,1,280.0,280.0,280,280,0.0,cuProfilerStop
