PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
1427427,1427427,0,40,40,87153757.9,87381299.5,84645581,88803562,1175502.6,2251.7,2235.0,1980,3050,194.7,87144539.8,87372054.5,84636167,88793906,1175499.9,6966.4,6976.0,6848,7168,71.8,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params)
1427427,1427427,0,40,40,87153601.6,87380217.5,84644871,88802500,1175581.7,3036.8,2940.0,2500,6040,563.2,87148631.2,87373726.5,84639461,88797360,1175638.1,1933.6,1920.0,1920,1984,17.6,cudaLaunchKernel,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1427427,1427427,0,40,40,87146618.2,87370994.5,84636588,88795058,1175546.4,2243.0,2195.0,1910,3270,250.2,87142631.2,87366980.5,84632550,88791130,1175603.6,1744.0,1744.5,1728,1760,16.2,cuLaunchKernel,ugelu_erf_bf16
1427427,1427427,0,40,40,87143472.8,87366798.5,84632395,88790620,1175601.4,2917.3,2895.0,2410,4130,377.8,87136150.7,87358995.5,84624571,88782746,1175608.2,4404.9,4416.0,4352,4448,24.6,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
1427427,1427427,0,80,80,84465129.4,84005131.5,80296827,87963663,2105603.8,2209.2,2125.0,1650,7980,764.8,84273808.3,83839128.5,80129548,87797055,2128881.5,189111.9,164177.5,163234,995751,129274.9,cuLaunchKernel,urelu_bf16
1427427,1427427,0,80,80,83749115.0,83405544.0,79727504,87386114,2225172.3,2140.8,2070.0,1750,3830,340.4,83187148.5,82653671.5,78608849,86862472,2251901.2,559825.6,523316.0,516132,1397323,150008.6,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_tn
1427427,1427427,0,1880,1880,58301927.4,68671071.0,1931666,88816987,27487478.8,1807.6,1760.0,1500,9400,421.0,58210926.7,68556951.0,1883102,88791998,27454834.7,89193.0,46881.0,3072,1280522,139195.4,cuLaunchKernel,badd_bf16
1427427,1427427,0,480,480,46517851.1,47184285.5,663060,86485634,27732392.3,2297.9,2070.0,1910,8220,729.2,46320503.5,47033351.5,513981,86334545,27743809.1,195049.7,150017.0,144065,1035913,167987.6,cudaLaunchKernel_ptsz,"void flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(Flash_fwd_params)"
1427427,1427427,0,1360,1360,46215882.1,46812116.0,122448,88807490,26932017.8,1857.0,1780.0,1610,7110,365.0,46104510.4,46715256.5,28515,88802190,26939137.6,109514.6,95041.0,3488,1040393,104115.4,cuLaunchKernel,layernorm_bf16
1427427,1427427,0,80,80,43637898.0,42676436.0,6006,88782400,43781231.7,2589.6,2300.0,1760,4780,751.4,43633960.0,42672191.0,1930,88778792,43781795.0,1348.4,1296.0,1248,1632,128.2,cuLaunchKernel,cast_bf16_f32
1427427,1427427,0,6000,6000,42266607.3,42455097.5,231401,88572873,24810567.6,1927.0,1850.0,1680,18370,486.9,42039459.4,42193670.5,81190,87955663,24802558.9,225220.9,152962.0,145985,1418571,169440.1,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
1427427,1427427,0,160,159,41752513.4,38978160.0,7803,88807824,41839092.0,4114.2,2050.0,1660,18840,3990.0,41966321.9,77145764.0,104,88802886,41837569.4,44369.6,37776.0,2624,746182,70577.1,cuLaunchKernel,is_u32_bf16
1427427,1427427,0,1120,1120,40674524.3,40410237.5,1586255,80748033,23087007.7,1745.2,1680.0,1560,7670,293.6,40585866.8,40331573.5,1503219,80670040,23085925.7,86912.3,77665.0,75713,1158762,76944.6,cuLaunchKernel,geglu_bf16_pair
1427427,1427427,0,2240,2240,40362294.8,40267380.0,1187271,80674434,23079356.1,1825.7,1760.0,1610,8780,382.6,39899640.8,39874283.5,805636,80281667,23081280.3,460828.2,392164.0,375395,1404587,198536.9,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
1427427,1427427,0,1120,1120,39676427.7,39548423.0,830304,79900434,23088265.6,1860.9,1780.0,1640,7890,328.3,39562473.1,39448032.5,732187,79800229,23084459.9,112093.7,98593.0,94977,1040744,92286.6,cuLaunchKernel,residual_norm_bf16
1427427,1427427,0,720,720,39445437.8,39309211.0,2910937,76797096,22198598.6,2139.3,2040.0,1860,8570,394.6,38876542.2,38814751.0,2420969,76048383,22166228.8,566756.2,496100.0,485124,1493356,198999.1,cudaLaunchKernel_ptsz,"void flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(Flash_fwd_params)"
1427427,1427427,0,1120,1120,38955316.5,38821017.0,545308,79516971,23076319.6,1754.9,1680.0,1570,8010,346.8,38901911.2,38769428.0,499363,79470775,23080022.9,51650.4,43424.0,41408,1003976,68152.1,cuLaunchKernel,rope_pair_bf16
1427427,1427427,0,1280,1280,127664.4,86781.5,7062,534172,116480.9,1709.9,1610.0,1490,7380,383.3,123279.1,82524.5,1426,530044,116451.7,2675.4,2656.0,2464,9024,309.0,cuLaunchKernel,copy2d_bf16
1427427,1427427,0,80,80,126616.5,6057.0,4507,705091,191487.5,2504.1,2690.0,1650,5080,720.4,122761.6,1917.5,815,701159,191535.8,1350.8,1344.0,1216,1472,102.2,cuLaunchKernel,copy2d_f32
1427427,1427427,0,40,40,122242.3,9869.5,9212,690339,183060.0,3566.9,3564.5,2890,4540,330.9,116437.8,4407.5,3118,684481,183002.6,2237.6,2176.0,2144,2432,88.3,cudaLaunchKernel,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1427427,1427427,0,80,80,121095.8,12164.5,10930,691961,178630.7,3092.2,3140.0,1840,7640,1078.7,111027.9,1857.0,833,681645,178833.9,6975.7,6976.0,6784,7168,79.8,cudaLaunchKernel,ampere_sgemm_32x32_sliced1x4_tn
1427427,1427427,0,80,80,115336.2,7554.5,6395,682091,177437.5,2255.2,2265.0,1580,3310,543.0,110075.3,2448.0,1029,676127,177419.5,3005.6,3024.0,2752,3328,224.1,cuLaunchKernel,badd_f32
1427427,1427427,0,40,40,114964.4,7360.5,6692,676827,178214.8,2935.0,2875.0,2410,3690,351.0,110251.9,2540.5,2151,672595,178311.6,1777.6,1792.0,1760,1792,16.1,cuLaunchKernel,ugelu_erf_f32
1427427,1427427,0,40,40,111190.4,7346.0,6893,667663,173935.2,3028.8,3020.0,2440,3580,244.8,106340.9,2424.5,1919,662899,174035.8,1820.8,1824.0,1792,1856,14.1,cuLaunchKernel,softmax_f32
