Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.7,353688946,20,17684447.3,17512663.5,10100,35826651,17957253.0,cuMemcpyDtoHAsync_v2
1.3,4790469,2410,1987.7,1770.0,1550,24190,1081.5,cuLaunchKernel
0.8,3120906,1540,2026.6,1900.0,1710,9140,504.6,cudaLaunchKernel
0.5,1969260,4790,411.1,340.0,200,88989,1399.0,cuMemAllocAsync
0.5,1723424,4790,359.8,320.0,200,8610,297.5,cuMemFreeAsync
0.3,1124883,9580,117.4,100.0,70,5480,92.4,cuEventCreate
0.2,794218,9580,82.9,70.0,50,5990,86.5,cuEventDestroy_v2
0.2,707572,300,2358.6,1990.0,1810,9450,1043.2,cuMemsetD8Async
0.2,690265,300,2300.9,2070.0,1900,12580,827.4,cudaLaunchKernel_ptsz
0.2,640247,270,2371.3,1760.0,1500,18570,1985.6,cuMemcpyHtoDAsync_v2
0.0,127579,580,220.0,180.0,150,2080,181.6,cuKernelGetFunction
0.0,105369,1,105369.0,105369.0,105369,105369,0.0,cuStreamSynchronize
0.0,40540,10,4054.0,3210.0,3010,11400,2587.2,cudaMemsetAsync
0.0,21450,10,2145.0,2275.0,1460,2520,366.7,cudaEventRecord
0.0,4630,50,92.6,60.0,40,260,66.3,cuStreamGetCaptureInfo_v2
0.0,2960,1,2960.0,2960.0,2960,2960,0.0,cuCtxSynchronize
0.0,1870,1,1870.0,1870.0,1870,1870,0.0,cuProfilerStart
0.0,80,1,80.0,80.0,80,80,0.0,cuProfilerStop
