Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.3,168099373,1500,112066.2,75328.0,74112,1129385,112174.7,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
28.1,104363572,560,186363.5,153313.0,150177,1012776,142610.4,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
8.1,30050653,180,166948.1,141169.0,138562,961800,112669.0,"void flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(Flash_fwd_params)"
3.7,13743723,470,29242.0,17984.0,3008,669286,41111.4,badd_bf16
3.3,12274723,280,43838.3,37280.0,36481,728006,56482.1,residual_norm_bf16
3.2,11752280,340,34565.5,35520.0,3424,48416,5502.1,layernorm_bf16
2.6,9776317,280,34915.4,29664.0,28896,427075,41221.1,geglu_bf16_pair
2.5,9299915,120,77499.3,68176.5,66656,693670,67784.2,"void flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(Flash_fwd_params)"
1.3,4984295,280,17801.1,17600.0,15424,34912,1185.5,rope_pair_bf16
1.2,4603173,20,230158.6,229410.0,228642,244994,3508.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Params)
0.3,1211114,20,60555.7,60576.5,60384,60704,85.9,urelu_bf16
0.2,621827,40,15545.7,15264.0,2368,29184,12869.4,is_u32_bf16
0.0,165152,30,5505.1,5472.0,5248,5920,167.8,copy2d_bf16
0.0,129633,20,6481.6,6352.0,2912,10272,3632.6,"void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int)4, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.0,99873,10,9987.3,9984.0,9888,10113,71.7,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
0.0,57696,20,2884.8,2864.0,2656,3200,223.7,badd_f32
0.0,42145,10,4214.5,4208.0,4192,4256,26.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.0,27584,20,1379.2,1344.0,1216,1600,130.0,cast_bf16_f32
0.0,26368,20,1318.4,1312.0,1280,1344,22.3,copy2d_f32
0.0,18720,10,1872.0,1872.0,1856,1888,16.9,softmax_f32
0.0,17056,10,1705.6,1696.0,1696,1728,15.5,ugelu_erf_bf16
0.0,15360,10,1536.0,1536.0,1504,1568,15.1,ugelu_erf_f32
