PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
1426459,1426459,0,10,10,35197107.7,35235994.5,34491132,35837035,424101.6,3333.0,3210.0,2820,4360,465.1,35183787.4,35222254.5,34477324,35823693,424147.0,9987.3,9984.0,9888,10113,71.7,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
1426459,1426459,0,10,10,35186372.6,35225101.5,34479450,35826417,424495.4,2371.0,2345.0,2260,2590,96.7,35182296.0,35221050.5,34475444,35822241,424499.6,1705.6,1696.0,1696,1728,15.5,cuLaunchKernel,ugelu_erf_bf16
1426459,1426459,0,10,10,35182074.7,35221153.0,34475648,35821805,424600.9,3020.0,2940.0,2800,3570,217.3,35174840.2,35213972.0,34468656,35814453,424639.1,4214.5,4208.0,4192,4256,26.4,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
1426459,1426459,0,20,20,34031487.0,33923641.5,32566766,35525914,955006.8,2207.9,2075.0,1720,3070,382.4,33968723.3,33860817.0,32504206,35463323,955268.7,60555.7,60576.5,60384,60704,85.9,cuLaunchKernel,urelu_bf16
1426459,1426459,0,20,20,33826227.0,33720626.5,32362240,35318994,953498.4,2172.5,2090.0,1790,3800,431.5,33593895.9,33488756.0,32130923,35087796,952985.2,230158.6,229410.0,228642,244994,3508.6,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Params)
1426459,1426459,0,470,470,23482112.0,27780262.5,698920,35850158,11207306.6,1863.4,1780.0,1550,10470,553.1,23451006.7,27760973.5,678868,35829884,11197065.3,29242.0,17984.0,3008,669286,41111.4,cuLaunchKernel,badd_bf16
1426459,1426459,0,120,120,18643882.3,18899319.0,248834,34944788,11312623.4,2470.0,2110.0,1930,12580,1214.3,18563913.0,18820222.5,169598,34872055,11303436.4,77499.3,68176.5,66656,693670,67784.2,cudaLaunchKernel_ptsz,"void flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(Flash_fwd_params)"
1426459,1426459,0,340,340,18543816.8,18813487.0,55224,35838711,10958265.3,1879.9,1790.0,1610,6960,378.7,18507371.4,18776427.5,17938,35833306,10959761.5,34565.5,35520.0,3424,48416,5502.1,cuLaunchKernel,layernorm_bf16
1426459,1426459,0,20,20,17695344.9,17563978.5,6538,35813927,17936096.7,3832.5,2835.0,2010,24190,4829.3,17690133.3,17549406.5,2362,35809693,17937676.8,1379.2,1344.0,1216,1600,130.0,cuLaunchKernel,cast_bf16_f32
1426459,1426459,0,40,40,16929541.1,16126491.5,10775,35839438,17011218.0,6009.7,3055.0,1730,21180,5161.2,16907985.8,16103095.5,78,35834346,17016121.4,15545.7,15264.0,2368,29184,12869.4,cuLaunchKernel,is_u32_bf16
